Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
53,48672,2,2,74,208,37,37,37.0,0.0,104,104,104.0,0.0,5793.885602,82.18277449,16224.0,28095.59615,48666,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,41.09138725,41.09138725,37,104,63.8,36.69741135,1346.7,0,0,0,0,0,0,0,0,1,79.75,37.0,104.0,40,0,0,0,0,0,0,2,74,2,208,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,30602,2,2,108,164,54,54,54.0,0.0,82,82,82.0,0.0,8888.307954,130.7104111,10200.66667,17662.87679,30596,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,65.35520554,65.35520554,54,82,65.2,15.33623161,235.2,0,0,0,0,0,0,0,0,1,81.5,54.0,82.0,40,0,0,0,0,0,0,2,108,2,164,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
123,48069,1,1,48,48,48,48,48.0,0.0,48,48,48.0,0.0,1997.129127,41.60685681,48069.0,0.0,48069,48069,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,20.80342841,20.80342841,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,72.0,48.0,48.0,32,0,0,0,0,0,0,1,48,1,48,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,148,2,2,88,250,44,44,44.0,0.0,125,125,125.0,0.0,2283783.784,27027.02703,49.33333333,79.38723659,141,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,40,40,13513.51351,13513.51351,44,125,76.4,44.36552716,1968.3,0,0,0,0,0,0,0,0,1,95.5,44.0,125.0,40,0,0,0,0,0,0,2,88,2,250,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,23637,1,1,50,78,50,50,50.0,0.0,78,78,78.0,0.0,5415.23882,84.61310657,23637.0,0.0,23637,23637,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,42.30655329,42.30655329,50,78,59.33333333,16.16580754,261.3333333,0,0,0,0,0,0,0,0,1,89.0,50.0,78.0,32,0,0,0,0,0,0,1,50,1,78,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,116481197,23,22,1493,9910,706,0,64.91304348,171.3701239,1451,0,450.4545455,650.2315139,97.8956286,0.386328448,2647299.932,4360379.531,10000000,3,116000000,5294599.864,5008354.5,10100000,3,112000000,5329206.19,5137836.995,10100000,49,0,0,0,0,744,712,0.197456762,0.188871685,0,1451,247.8913043,500.202769,250202.8101,0,0,0,1,0,0,0,0,0,253.4,64.91304348,450.4545455,744,0,0,0,0,0,0,23,1493,22,9910,29200,130,5,32,148630.5455,214993.7528,796861,83659,10000000.0,9576.857715,10000000,9996435,BENIGN
443,10403759,9,10,812,6549,460,0,90.22222222,155.2463991,1576,0,654.9,705.6420953,707.5327293,1.826262988,577986.6111,2301646.456,9798294,3,10400000,1299534.25,3435005.951,9798294,265,10300000,1149986.778,3319318.596,10000000,3,0,0,0,0,192,212,0.865071942,0.961191046,0,1576,368.05,577.0694089,333009.1026,0,0,0,1,0,0,0,0,1,387.4210526,90.22222222,654.9,192,0,0,0,0,0,0,9,812,10,6549,8192,239,8,20,597980.0,0.0,597980,597980,9798294.0,0.0,9798294,9798294,BENIGN
53,32218,4,4,112,396,28,28,28.0,0.0,99,99,99.0,0.0,15767.58334,248.308399,4602.571429,11609.43349,30919,1,31924,10641.33333,18389.77516,31876,1,1252,417.3333333,678.1993316,1200,3,0,0,0,0,128,128,124.1541995,124.1541995,28,99,59.55555556,37.42028565,1400.277778,0,0,0,0,0,0,0,0,1,67.0,28.0,99.0,128,0,0,0,0,0,0,4,112,4,396,-1,-1,3,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,216,2,2,64,158,32,32,32.0,0.0,79,79,79.0,0.0,1027777.778,18518.51852,72.0,122.9756073,214,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,64,64,9259.259259,9259.259259,32,79,50.8,25.7429602,662.7,0,0,0,0,0,0,0,0,1,63.5,32.0,79.0,64,0,0,0,0,0,0,2,64,2,158,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,341316,10,7,585,5327,195,0,58.5,74.13838412,2074,0,761.0,873.8983541,17321.19209,49.80721677,21332.25,30854.18382,84699,3,341316,37924.0,33553.9019,86669,3,215639,35939.83333,55090.51512,115037,4,0,0,0,0,212,152,29.29836281,20.50885397,0,2074,328.4444444,631.4299572,398703.7908,0,0,0,1,0,0,0,0,0,347.7647059,58.5,761.0,212,0,0,0,0,0,0,10,585,7,5327,8192,110,9,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
